,names,roaster,roast,loc_country,origin_,100g_USD,rating
477,Colombia Pink Bourbon,,,,,,
478,Crystalina,,,,Caldas Growing Region,,
479,Kenya Kiambu Gititu AA,,,,Kiambu Growing Region,5.1,
480,Hawaiian Kona 100%,,,,,,
481,Guatemala Finca El General BlackLand Lot,,,,,,
482,Ninety Plus Gesha Estates JBC Custom Lot #252,,,,,43.65,
483,La Palma Y El Tucan Hero Series Colombia Sidra Lot #190,,,,,,
484,Suyusama Colombia,,,,,,
485,ASOPCAFA Espresso,,,,,,
486,Rukera Espresso,,,,,6.23,
487,Colombia Pink Bourbon El Corazon,,,,,8.82,
488,L2 Love Espresso Blend,DoDo Kaffa,,,,,
489,Guatemala-Ethiopia Espresso Blend,Dory Coffee Roasters,,,,,
490,Black Meow Blend,,,,,2.34,
491,Karibu Espresso Blend,,,,,,
492,Sun Sun Sun Sun Sun Sun Sun Sun Sun Blend,,,,,5.6,
493,Ethiopia Hambela 1 Organic Natural Alaka,SkyTop Coffee,,,,,
494,Brazil Ibicoara Chapada Diamantina Natural,,,,Ibicoara Municipality,,
495,Costa Rica Coto Brus-La Amistad,,,,Coto Brus,,
496,Karimikui AA Kenya,Collage Coffee,,,,,
497,Peru Antonio Regalado Diaz El Huyacan La Palma,,,,,,
498,Bella Carmona Guatemala,,,,,,
499,Peru Natural Jose Herrera Lot 21,,,,,,
500,Burundi Dukorerikawa Natural,,,,Bururi Growing Region,,
501,Guatemala Acatenango Washed Lot 503 Espresso,,,,,2.83,
502,The Core Espresso,Highwire Coffee Roasters,,,,,
503,Espresso Mandarina,,,,Congo,,
504,SOB Espresso,Folly Coffee Roasters,,,,,
505,Ethiopia Yirgacheffe Chelelektu Natural,,,,,,
506,Kenya Kimaruri,,,,,,
507,Zambia Kateshi Natural,,,,Northern Province,,
508,Kenya Handege,,,,,,
509,Kauai Estate Reserve Sun-Dried Typica,Kauai Coffee Company,,,Kalaheo,21.16,
510,Ecuador Loja Clara Sidra Natural Taza Dorada #2,94 Fresh Coffee,,,,9.87,
511,The Natural,,,,,,
512,Ethiopia Sidamo G4 Natural Espresso,,,,,2.56,
513,Green-Tip Geisha,Finca Las Nieves,,Mexico,Oaxaca State,,
514,Saint Helena Island Peaberry,,,,Sandy Bay Valley,44.05,
515,Philippines Sitio Naguey Natural,,,,Belis,8.36,
516,Ethiopia Guji Queen Honey,Pro Aroma Enterprise Coffee,,,,,
517,Ethiopia Civet Sidama Papilio Natural,Good Chance Biotechnology,,,,,
518,,,,,Kochere Woreda,4.82,
519,Ethiopia Washed Guji Dimtu Espresso,,,,,,
520,Barichu Double,,,,,,
521,GA 400 Espresso,,,,,,
522,Papua New Guinea Timuza,,,,Eastern Highlands,,
523,Rukera Kenya,,,,,,
524,Trilogy,,,,Asia,,
525,Kenya Kiambu Uklili AA,,,,,,
526,Ethiopia Guji Shakisso Natural Lot 24,,,,,,
527,Ethiopia Washed Yirgacheffe Nafasha Lot,,,,,,
528,La Avila SL28 El Salvador,,,,Tecapa Chinameca Growing Region,,
529,,,,,,8.66,
530,Talquezalar El Salvador,,,,La Palma,,
531,Finca Kilimanjaro Natural,,,,,7.71,
532,Finca San Antonio El Salvador,Dinwei Cafe,,,Chalatenango Department,16.7,
533,Mario Aguilar Grand Cru El Salvador,Deeper Roots Coffee,,,,,
534,José Flores El Salvador Natural,Duluth Coffee,,,,9.92,
535,Ethiopia Yirgacheffe Worka Gotiti Natural,,,,,6.34,
537,Ethiopia Natural Yirgacheffe Blue Donkey Lot,,,,,,
538,Guatemala Guayabales Single-Origin Espresso,,,,,,
539,Kenya Chania Estate,,,,,,
540,Guatemala Los Santos,,,,,,
541,Geisha Village Auction Lot #11,,,,,22.71,
542,Panama Finca Kalithea Natural Geisha,Kakalove Café,,,Chiriqui Growing Region,,
543,Panama Hacienda La Esmeralda Super Mario 6 Geisha,,,,,,
544,Panama Geisha Alto Jaramillo,,,,Alto Jaramillo,35.27,
545,Colombia Laderas del Tapias Estate Natural Geisha,CafeTaster,,,Neira,18.78,
546,Gesha Village Natural Lot #19,,,,,38.4,
547,Gesha Village 1931 Lot 27,Mudhouse Coffee Roasters,,,,,
548,Ethiopia Sidamo Gora Kone,,,,,,
549,Classic Nine Espresso,HWC Roasters,,,,4.27,
550,Kebele Village Espresso,,,,,5.03,
551,Kebele Village Ethiopia,,,,,,
552,D31 The New Life,Dante Coffee,,,,4.8,
553,Panama Finca San Sebastian,,,,,,
554,Rwanda Nyarusiza Station,,,,,,
555,Murang’a Kenya,,,,,5.5,
556,Murang’a Kenya Espresso,,,,,,
557,Coffea Diversa Cioiccie,,,,,35.23,
558,Yirgacheffe Gedeb G1 Natural,MJ Bear Coffee,,,,,
559,Guatemala San Cristobal,Foggy Hills Coffee Company,,,San Cristobal,,
560,Peru Paltachayoc,,,,Cusco Department,,
561,Ethiopia Sidama Naia Bomb Natural Vertical Reserve,Coffeebar,,,,,
562,Ethiopia Guji Uraga,Pedestrian Coffee,,,,,
563,Kenya Gakundu FCS Kamviu Wet Mill,Stereo Coffee Roasters,,,,,
564,TMC SB Blend Espresso,Tehmag Foods Corporation,,,,2.68,
565,Nayo Ovalle Guatemala,Coava Coffee Roasters,,,La Libertad,,
566,Gesha Village Lot #85 Natural,,,,,17.61,
567,Ethiopia Natural Yirgacheffe Banko Gotiti,,,,,,
568,Guatemala Washed Finca El General Pache M-Plus Espresso,,,,,,
569,Guatemala Washed Finca El General Pache,,,,,,
570,Guatemala Washed Finca El General Lot Summer End Espresso,,,,,,
571,Colombia La Esperanza Natural XO,,,,Valle De Cauca,,
572,Indonesia Sumatra Gayo Espresso,,Dark,,,,
573,Ethiopia Limu Nano Challa Lot #10,,,,,,
574,Geisha XO,,,,,,
575,Colombia Finca La Maria Geisha Natural,,,,La Mesa,32.3,
576,Cordillera del Fuego Costa Rica Anaerobic,,,,Tarrazu,,
577,Ethiopia Anaerobic,,,,Sidamo (Also Sidama),6.96,
578,Costa Rica Anaerobic,,,,,,
579,Colombia Finca El Paraiso Double Anaerobic Geisha,Lucky Cafe,,,Cauca,25.6,
580,Ethiopia Yirgacheffe Adorsi,,,,,19.2,
581,Ethiopia Sidama Naia Bombe Dry Ferment Vertical Reserve,,,,,,
582,Colombia Monteblanco Gesha Cold Fermentation,,,,,,
583,Costa Rica Brunca Finca Vista Passion Honey,,,,Brunca,,
584,Estate Grade House Blend Espresso,Hsus Cafe,,,,,
585,Chania Kenya,,,,Thika Plateau,7.04,
586,Kenya Kibirigwi Thunguri,,,,,,
587,Washed Kenya,,,,Muranga County,7.82,
588,Coffea Diversa Bourbon Rey Jamaica,,,,Jamaica,,
589,Coffea Diversa Bourbon Rey Guatemala,,,,,,
590,Colombia Huila,,,,,,
591,Panama Hacienda La Esmeralda Super Mario Geisha,,,,,69.0,
592,Tablon La Cima,Cafe Grumpy,,,,,
593,Nicaragua Finca Idealista,South Slope Coffee Roasters,,,,,
594,Ethiopia Guji Gerbicho Natural,Souvenir Coffee,,,,,
595,Panama Elida Natural Catuai,,,,,6.45,
596,Cate Natural G5,,,,Jimma Growing Region,3.2,
597,Ethiopia Yirgacheffe GR1 Bedhatu Jibicho Washed,,,,,,
598,Kenya Nyeri Othaya Gura AA,,,,,6.16,
599,Signature Blend,Q Burger,,,,1.97,
600,Ethiopia Konga Natural,,,,,,
601,Kenya Ndaroini,,,,Yeri Growing Region,,
602,Harimau Tiger Sumatra,,,,Mandheling Growing Region,5.06,
603,Gachami Kenya,,,,,,
604,Twisted V.5,,,,,,
605,Finca Santa Isabel Guatemala,,,,Santa Rosa Growing Region,,
606,Ethiopia Natural “Phoenix”,,,,,,
607,Costa Rica SL-28 Yellow Honey Espresso,,,,,18.41,
608,Burundi Washed “Crystal”,,,,Buyenzi,,
609,Ethiopia Natural Gedeb Violent Andromeda,,,,,,
610,Espresso Blend Classic No. 1,,,,Indonesia,,
611,,4 Plus Coffee,,,Oromia,9.67,
612,Panama Perci Geisha Natural,,,,Volcan,,
613,,Black & White Coffee Roasters,,,,,
614,Kenya Kiandu Peaberry,Quartet Kaffe,,,,9.12,
615,Ethiopia Idido Wegida,,,,,,
617,Ethiopia Herfusa Single Variety Natural,,,,,,
618,Mbeguka Kenya,,,,Kibugu Village,,
619,Guatemala La Folie,,,,Antigua,,
620,Ethiopia Yirgacheffe Washed,MK Coffee Roasters,,,,,
621,Costa Rica Farmer’s Project,,,,,,
622,Organic Unicorn Espresso Blend,Wheelys Cafe Taiwan,,,,5.76,
623,Guatemala Concepción Buena Vista,,,,Chimaltenango,,
624,Ethiopia Yirgacheffe Aricha G1,Chez Cafe,,,,,
625,El Salvador Las Mercedes Pacamara Honey,,,,Cerro El Tigre,,
626,Sumatra Raja Harimau Lintong Espresso,,,,,,
627,Panama Esmeralda Geisha Portón Oro Yeast,,,,,41.12,
628,Kenya Kiambu Peaberry Uklili 1904 Lot,,,,,,
629,Kenya Kiambu AB Uklili 1903 Lot,,,,,,
630,Ethiopia Natural Yirgacheffe Blue Donkey Lot #2,,,,,,
631,Ethiopia Nansebo Worka,,,,,,
632,Puna Champagne Natural Anaerobic,,,,Puna,,
633,Costa Rica Las Lajas Red Honey,,,,,,
634,Refisa Ethiopia,,,,Nensebo Woreda,4.94,
635,La Lindura Colombia,,,,Dolores,,
636,Butare Huye of Rwanda,San Francisco Bay Coffee,,,,,
637,La Finca Medina of Guatemala,,,,,,
638,Peaberry Blend,,,,Kona,,88.0
639,2019 Celebration,,,,,,
642,Winter Solstice Blend,,,,,,
643,Festivity Blend,,,,,,
644,,Detour Coffee Roasters,,,,,
645,Invincible Sun God,,,,,,
646,Wonderland Winter Solstice Holiday Blend,Open Seas Coffee,,,Nicaragua,6.72,
647,Dark Roast Holiday Blend,Peet's Coffee,,,Sumatra,,86.0
648,Ethiopia Yirgacheffe Espresso Mekuriya Gobena,,,,,,
649,Ethiopia Shakiso,Battlecreek Coffee Roasters,,,,,
650,Madagascar Yellow Bourbon Santatra Coop,,,,Madagascar,,
651,Finca La Montana Costa Rica,Press House Coffee,,,,4.03,
652,Berg Wu Championship Selection Yirgacheffe G1 Natural Lot 19/01,,,,,,
653,Ethiopia Mulegeta Sintayehu Washed,,,,,16.0,
654,Ethiopia Sidamo Bensa Asefa Dukamo Washed,,,,,,
655,Panama Esmeralda Geisha Natural,,,,,,
656,,,,,,5.81,
657,Single-Origin Espresso,Guorizi Zhai Coffee,,,,,
658,Kenya FSC AB,Black Coffee In Black Jar,,,,32.0,
660,Guatemala Acatenango Geisha,,,,,,
661,Kenya Kiambu “Summer Love”,Rotate Fun Club,,,,,
662,El Salvador Pacamara Honey,,,,,,
663,Ethiopia Sidamo,Larry's Coffee,,,,,
664,,,,,,3.22,
665,Kenya Zuri,Allegro Coffee Roasters,,,,,
666,Guatemala Dark Roast FTO,Cafe Femenino,,,Sololá,,
667,Honduras Atanacio Nolasco,3-19 Coffee,,,Santa Elena,,
668,,Joe Van Gogh,,,,,
669,Sidamo Suke Quto,Signature Reserve,,,,3.32,
670,Guatemala (from bulk bin),Cameron’s Coffee,,,,1.54,
671,,HT Traders,,,,1.47,
672,,Eight O'Clock Coffee,,,,1.49,
673,100% Guatemalan,Hill's Bros. Coffee,,,,0.99,
674,Sumatra Dark,Starbucks Coffee,,,,3.08,
675,,,,,,27.76,
676,Panama Hacienda La Esmeralda Geisha Natural Special Auction ES-N-2,Euphora Coffee,,,Boquete,45.31,
677,Lian House Blend Espresso,,,,,4.51,
678,Ethiopia Guji Uraga Wolisho Natural,,,,,,
679,Lian House Blend,,,,,,
680,Guatemala Maragogype La Providencia,,,,,,
681,El Salvador Finca El Cerro Natural,,,,Apaneca-Ilamatepec Mountain Range,,
682,Halo Hartume Espresso,,,,,5.26,
683,Tanzania AA Karatu Estate,,,,Karatu,,
684,Ethiopia Yetagesu Bulebula,,,,,,
685,Ethiopia Guji Darii Kojowa Grade 1,Cloud City Coffee,,,,,
686,Kenya Kevota Makengi,,,,,,
688,Le Roi Espresso,Vascobelo,,Belgium,,3.02,
689,Ethiopia Sidama Anaerobic,,,,Sidama (Also Sidamo) Region,,
690,Kenya Kiri Peaberry,,,,Ngiriambu District,,
691,Kenya Nyeri AA Ichuga,,,,,,
692,Wolde Hirbe Natural Espresso,,,,,5.41,
693,Hacienda La Esmeralda Geisha Panama,,,,,,
694,San Sebastian Colombia,,,,,,
695,La Coipa Peru,,,,Cajamarca Growing Region,,
696,Ethiopia Violent Andromeda Natural,,,,,,
697,Kenya Nyeri Yerihar AA Lot 1901 Espresso,,,,,,
698,Costa Rica Aris Red Honey Lot 1901 Espresso,,,,,,
699,Idido,Counter Culture Coffee,,,,,
700,Ethiopia FTO,,,,,,
701,Kenya Kiambu AB Uklili 1905 Lot,,,,Iambu Growing Region,,
702,Birambo Village DR Congo,,,,,,
703,Birambo Village DR Congo Espresso,,,,,,
704,,Jampot Poorrock Abbey,,,,,
705,Costa Rica Tarrazu Hacienda La Pradera,,,,,,
706,Honeymoon Espresso,,,,,,
707,Elida Natural Dragonfly Lot,,,,,,
708,Guatemala Maravillas,Telluride Coffee Roasters,,,Quiché,,
709,Kona Laurina Pointu,Kona Farm Direct,,,,25.2,
710,Dadaocheng Garden Blend Espresso,,,,,,
711,Kona K7,,,,,,
712,Kona SL34,,,,,,
713,Ethiopia Dimtu,,,,,,
714,Kona Double-Washed Black Rock Farm,,,,Kona Growing Region,,
715,Peru Aproselva,Lone Coffee,,,Junin,,
716,La Naranja Honduras,,,,El Socorro,,
717,Mexico FTO,,,,Motozintla De Mendoza,,
718,Ethiopia Wush Wush,,,,Sidama Growing Region,,
719,Ethiopia Hassen Ware Akrabi,Indaba Coffee Roasters,,,,,
720,Ethiopia Sidama Bombe Natural,Fire Ridge Coffee,,,,,
721,Ethiopia Adame Garbota,,,,,,
722,Rwanda Bumbogo,Tony's Coffee,,,Gakenke,,
723,Ethiopia Danse Mormora,,,,,,
724,Ethiopia Keramo Washed,Dapper & Wise,,,,,
725,Congo Boza,Ghost Town Coffee Roasters,,,Lake Kivu,4.48,
726,Kenya Muiri Estate,,,,Kiambi County,,
727,Costa Rica Luis Campos Anaerobic,,,,,,
728,Colombia Granja La Esperanza Tres Dragones,,,,,,
729,Kenya Wanjengi AA,,,,,8.48,
730,Colombia Finca La Loma Microlot,BeanFruit Coffee Co.,,,,,
731,Aged Sumatra Espresso,,,,,3.63,
732,Dukunde Kawa Rwanda,,,,Musasa,4.78,
733,Buzira Burundi Natural,,,,Murutra,5.35,
734,Ka’u Yellow Caturra Champagne Natural,,,,Ka’U Growing Region,22.0,
735,Burundi Kibingo,,,,,,
736,Rwanda Gatare Namasheke,,,,Namasheke District,,
737,Indestec El Paraiso,,,,,8.52,
738,Monteblanco Cold Fermentation Geisha,,,,,,
739,Dirty South,,,,,,
740,Ten Anniversary Blend,,,,,,
741,Seasonal Ethiopia Yirgacheffe Natural,modcup coffee,,,,,
742,Floyd Farmhouse Blend,,,,,,
743,Yemen Al-Obbarat,,,,Al-Haimah,,
744,Ecuador Quilanga Typica Yeast Fermentation,,,,Quilanga,6.75,
745,S.O. Espresso Brazil Fazenda Cachoeira Yellow Bourbon,,,,Vale De Grama,,
746,Rwanda Hingakawa Women’s Co-op,,,,,,
747,DR Congo Muungano Co-op South Kivu,,,,South Kivu,,
748,Ethiopia Natural Guji PB JackyLai Lot,,,,,,
749,Rwanda Kiroero,,,,Boneza,,
750,Kakalove Ethiopia Natural Yirgacheffe Boyrfi,,,,,,
751,Rus & Alla Ka’u,Kona Roasted,,,Ka’U,,
752,,,,,,11.73,
753,Capital Cold Brew,,,,,,
754,Colombia Finca Lord Baltimore Papayo,,,,Pitalito,,
755,Hawai’i Ka’u Typica Anaerobic Washed,,,,,,
756,Lekali Estate Reserve Nepal,,,,,,
757,"Gary & Valerie, Kona",,,,South Kona Growing Region,,
758,"Salvador, Kona",,,,,,
759,Mocha Java,,,,,,
760,Ethiopia Shantawene Washed,,,,Idamo (Also Sidama) Growing Region,,
761,Organic Suke Quto Ethiopia,,,,,,
762,Kenya Tuikit Factory AA,,,,Bungoma,,
763,Karen J Kona Red Bourbon,,,,,0.17,
764,Abu Natural Panama Geisha,,,,,20.55,
765,Sumatra Lintong Triple-Picked Reserve,,,,,,
766,Colombia Finca Las Margaritas Natural Sudan Rume,,,,,,
767,Ecuador Finca Carolina Sidra,,,,Pinchincha,,
768,Ethiopia Konga,,,,,,
769,Gesha Village Single-Variety Gesha Special Selection,,,,,,
770,DR Congo Muungano,,,,,,
771,Colombian,,,,,,
772,,,,,Nariño,,
773,Ethiopia BergWu SP Series: Wuri Red Cherries 19/EXP02,Vennel Coffee,,,,,
774,Kenya AB Top,,,,,,
775,Ka’u Giant Maragogipe,,,,,,
776,Wood Valley Single Estate Ka’u,,,,,,
777,Kona Maragogype,,,,,,
778,Organic Ethiopia Agaro-Nano Challa,,,,Agaro Gera,,
779,Kerinci Palompek Sumatra,,,,Jambi Province,5.23,
780,Guatemala Vista Al Bosque,Oak & Bond Coffee Company,,,,,
781,Session Blend,,,,,,
782,Peaberry Medium Roast,,,,North Kona Growing District,,
783,Lover’s Quarrel,Mooju Coffee,,,Bali,,85.0
784,Kenya Embu Gicherori Factory AA Top,,,,,9.28,
785,9 Bar,Fidalgo Coffee,,,,,
786,Colombia Huila Los Lagos Washed Geisha,,,,,,
787,Coffea Diversa Liberica Carbonic Maceration,,,,Biollet,,
788,Ethiopia Nano Genji #4,,,,,,
789,Red Bourbon Washed,,,,,14.55,
790,Typica Natural,,,,,,
791,Finca Kusillo Bolivia,,,,Caranavi,,
792,Nano Genji Agaro Gera,,,,,,
793,,,,,Aceh Province,,
794,Quadratic Wizard Blend,Rhetoric Coffee,,,,,
795,Colombia Nariño,,,,,,
796,Honey Peru Huabal,,,,Huabal,,
797,Kitten Q Espresso Blend,,,,,,
798,Hoyt’s Crossing,,,,,,
799,Peru Elvis Rafael Single-Origin Espresso,,,,El Diamante,,
800,Black Dragon Dark Roast,,,,,2.94,
801,Kona Classic Black Rock Farm,,,,,16.71,
802,Ethiopian Yirgacheffe Natural,,,,,,
803,Colombia Cauca At’e,,,,Paéz,,
804,,,,,Pantan Musara,,
805,Sumatra Gayo G1 Triple-Picked Lot 005,,,,,,
806,Guatemala Guaya’B Coop,,,,,,
807,Kakalove Taiwan Natural SL34 Alishan Ching-Ye Farm,,,,Alishan,11.33,
808,Nano Genji #4 Espresso,,,,,,
809,Ignacio Quintero Colombia,,,,Inza,,
812,Honduras Finca La Joya Natural,RamsHead Coffee Roasters,,,San Jose,,
813,Lone Peak Blend,,,,,,
814,Asfaw Maru Ethiopia Natural Cold Brew,,,,,1.32,
815,Ethiopia Nano Challa Cold Brew,Bonfire Coffee Company,,,,1.34,
816,Brazil Ipanema Black Edition A-41 Red Cherry,,,,Ipanema,,
817,Costa Rica Hacienda Tobosi Copey Villa Sarchi Black Honey,Atom Coffee Roasters,,,Tobosi,6.55,
818,Atom Blend,,,,,4.36,
819,Sudan Rume,,,,,,
820,Ethiopia Sidama Keramo Village,,,,,,
821,Red Bourbon Natural Exclusive Reserve,,,,,16.75,
822,Yemen,,,,,,
823,Heritage Blend,,,,,,
824,China Yunnan Natural,,,,Yunnan Province,,
825,Sweet Diary Espresso,,,,,,
826,Snowfield Espresso Blend,,,,,,
827,Karimiuki Espresso,,,,Kirinyaga,,
828,Karimiuki Kenya,,,,,,
829,Colombia San Pedro,,,,Acevedo,,
830,"DR Congo, Gera Village, SOPACDI",,,,,,
831,Colombia Buesaco,,,,,,
832,El Floral Colombia,,,,,,
833,El Salvador Geisha Natural,,,,,,
834,Colombia Pink Bourbon Honey,,,,,8.23,
835,Ethiopia Natural Guji Lot D Minor,,,,,,
836,Taiwan Natural Alishan Zhuo-Wu Farm Geisha,,,,,28.32,
837,All Rise,RND & Red Rooster Coffee Roaster,,United States And Floyd,,,
838,Rwanda Natural Musasa,,,,Central Rwanda,,
839,Nano Challa #6 Ethiopia,,,,,,
840,,,,,Ahuachapan,,
841,Costa Rica Coffea Diversa Washed Geisha,,,,,17.62,
842,Guatemala Bella Carmona,,,,,,
843,Ethiopia Yirgacheffe Kochere Debo,,,,,,
844,Ethiopia Guji Natural Water-Processed Decaf,,,,,,
845,Kilauea Volcano Champagne Natural,,,,Volcano,26.41,
846,Nicaragua La Benedicion SL28 Natural,,,,Nueva Segovia,,
847,Colombia Tolima Geisha,,,,Tolima,,
848,"Classic Blend (FTO, RFA)",,,,,6.66,
849,Galapagos La Tortuga,,,,Isla Santa Cruz And Isla San Cristóbal,,
850,South Africa Elephant Coast Estate Coffea Racemosa,,,,Kwazulu-Natal Province,35.19,
851,Titan Blend (FTO),Wheelys Café Taiwan,,,,6.08,
852,Ethiopia Guji Hambela Buku Abel Natural G1,,,,,5.77,
853,Ethiopia Haro Guta Natural,David's Nose,,,,,
854,Ethiopia Yirgacheffe Harfusa G1,,,,,5.82,
855,Kenya AA Kirinyaga Kii,,,,,,
856,Colombia Antioquia La Papaya Bourbon Chiroso,,,,Antioquia Department,,
857,Ethiopia Gatame Muka Natural,Brain Helmet,,,,,
858,Ethiopia Duromina,,,,,,
859,Ethiopia Shakiso Natural,Atomic Coffee Roasters,,,,,
860,Organic Panorama,,,,,,
861,Organic Heartstrings,,,,,,
862,Organic Ethiopia Chelbessa Danche,,,,Worka Chelbessa,,
863,Ka’u Red Caturra Peaberry,,,,Wood Valley,14.7,
864,Ka’u Red Caturra,,,,,13.82,
865,French Riviera,Cafe Arles,,,,3.91,
866,Wush Wush Ginbo Keffa Ethiopia,Equiano Coffee,,,,,
867,Burundi Karehe,Boon Boona Coffee,,,Ngozi Province,,
868,Colombia Finca El Roblar,,,,Suaza,,
869,Limu Ethiopia Natural,BLK & Bold,,,,,
870,Estelí Nicaragua,Dávila Kafe,,,Dipilto,,
871,Ethiopia Gera Estate Natural,Merge Coffee Company,,,,,
872,Ethiopia Guji Natural,Portrait Coffee,,,,,
873,Ka’u Classic Medium Roast,,,,Ka'U Growing District,9.57,
874,Safari Blend,Kahawa 1893,,,Kisii,,
875,East Fourteenth,Red Bay Coffee,,,Mbeya,,
876,Kenya Kapsakiso,RND,,,Bungoma Region,,
877,Jacmel Haiti,,,,Thiotte,,
878,Indonesian Sumatra Blend,Southeastern Roastery,,,,,
879,Colombia Huila Geisha Las Mieles,Dr. Bean's Coffee Roasters,,,,13.52,
880,Miraflores Colombia,,,,Sevilla,,
881,,Drink Coffee Do Stuff,,,,,
883,,,,,Embu,,
884,Ethiopia Duromina Agaro Gera,,,,,,
885,Ethiopia Kayon Mountain (Natural),,,,,,
886,Peru San Ignacio Calazobo Lot 2 FTO,,,,,,
887,Ethiopia Kayon Mountain (Washed),,,,,,
888,Sahara Sunrise,421 Brew House,,,,,
889,Amazon Haze,,,,,,
890,Organic Peru,Emiliani Coffee,,,,4.28,
891,Organic Sumatra,,,,Aceh,,
892,Organic Mexico,,,,Chiapas,,
893,Ethiopia Dame Dabaye,,,,,,
895,Gelena Abaya Natural,,,,,,
896,Kenya Nyeri AB Nyeshun,,,,,,
897,Ethiopia Guji Bishala,,,,,,
898,Ethiopia Wegida Natural,,,,,,
900,Olvin Valle Honduras,Triple Coffee Co.,,,Las Flores,,
901,Honduras,,,,Santa Barbara,,
902,Honduras San Vincent,,,,,,
903,Tarrazu Asocafé Canet,CofFeeling,,,,,
904,Ethiopia Sheka Kawo Kamina Natural,,,,Illubabor Zone,,
905,Black Swan Blend,,,,,,
906,Kona Champagne Natural Black Rock Farm,,,,,,
907,Guatemala Washed El General Lot SummerEnd 2020,,,,,,
908,Crescent Blend,,,,,,
911,Indonesia Lintong Mandheling,Peacock Coffee Roaster,,,,,
912,Ethiopia Sidamo Bensa Natural Single-Variety Kurume G1,,,,,9.74,
913,Costa Rica La Pastora,,,,Santa Maria De Dota,,
914,Papua New Guinea “Papa Kinne”,Lamppost Coffee Roasters,,,Purosa Village,,
915,Ethiopia Yirgacheffe Natural Farm Direct,,,,,,
916,Kenya Karatina AA 2020,,,,,,
917,Colombia San Luís Gesha,,,,,8.81,
918,Karani Kenya,,,,,,
919,Memory Lane,Nostalgia Coffee Roasters,,,,,
920,Cordillera del Fuego Costa Rica Termico,,,,,,
921,Hawai’i Kilauea Volcano Yeast Fermentation Washed,,,,,,
922,Kona Pink Honey Black Rock Farm,,,,,,
924,Playground SOE Espresso,,,,,,
925,Benti Nenqa #209 Ethiopia,,,,,,
926,Andi Sumatra,,,,,,
927,Las Gravilias Costa Rica,,,,Canton De Desamparados,,
928,Nicaragua La Huella Catuaí,,,,Matagalpa,,
929,El Salvador Santa Elena Pacamara,,,,,,
930,Guatemala Carlos Rivas,Kaldi's Coffee,,,,,
933,Mexico Mayan Village Women’s Lot,,,,Bella Vista,,
934,Honduras Finca Don Eusebio,,,,Chaguites,,
935,El Salvador Finca Las Duanas,,,,Alotepec-Metapan Region,,
936,El Salvador Las Mercedes La Avila,,,,,,
937,Guatemala El Plan Rosma,,,,,,
938,,Beachcomber Coffee,,,Honduras,4.2,
939,Heart & Soul Espresso Blend,States Coffee,,,,,
941,Ethiopia Yabitu Koba,,,,,,
943,Ethiopia Chelbessa Danche,,,,,,
944,Rhapsody of Dreams,,,,,,
945,Laura’s Reserve SL34,,,,,,
946,CBD Coffee Dark Roast,Rooster Roastery,,,,,84.0
947,Kona Pumpkin Spice Anaerobic,,,,,,
948,Taiwan Natural Medium Roast,The Formosa Coffee,,,Taiwan,,
949,Thailand Doi Pangkhon Dark Roast,,,,Doi Pangkhon,,
950,Ethiopia Reko Yirgacheffe,,,,,,
951,Colombia Asobombo Inza,,,,,,
952,Ethiopia Sidamo Natural Twakok G1,Bona Kafo Roastery,,,,7.65,
953,Panama Boquete Torre Lot #1 Geisha Honey,,,,,80.0,
954,Honduras Buenos Aires,,,,Buenos Aires,,
955,Nicaragua El Poste Pacamara,,,,,,
956,Yellow Caturra (special lot),Miranda Farms,,,,,
957,Ethiopia Natural Guji Kercha Lot Riverside,,,,,,
958,Costa Rica Yellow Honey Lot Kinka Bear,,,,,,
959,San Diego Natural,,,,,,
960,Buna Boka #1,,,,,,
961,El Jardin,,,,,,
962,Ethiopia Shantawene,Jaunt Coffee Roasters,,,,,
963,Monte Alban,,,,Oaxaca,,
964,Colombia Antioqiua,,,,,,
965,Colombia Tolima,,,,,,
966,Kenya Wachuri,,,,,,
967,Kenya Baragwi Guama AB,,,,,,
968,Kenya ARES,,,,,10.57,
969,Empress Kenya,,,,,,
970,Kenya Kiambu AB Top Lot,,,,,,
971,Kenya Kiambu Maua Lot AB,,,,,,
972,Kenya Thunguri AA,,,,,,
973,Kenya Kirinyaga Kabare Karani AA,,,,,,
974,Kenya Kirinyaga Kii,,,,,,
975,Kenya Rungeto,Steady State Roasting,,,,,
976,Kenya AA Top Gatomboya,,,,,,
977,Finca San Carlos,El Gran Café,,Guatemala,,,
978,Finca El Pintado,,,,,,
979,La Esperanza Villa Sarchi,,,,,,
980,La Esperanza Borbón,,,,,,
981,The Aurora Project,,,,,,
982,5a Sur,,,,,,
983,5a Poniente,,,,,,
984,Ethiopia Natural Guji D Minor Special Lot,,,,,,
985,2020 Savage Auction Deborah Carbonic-Macerated Natural Geisha,,,,Chiriqui,,
986,Costa Rica Cordillera del Fuego,,,,,,
987,Ethiopia Bombe Mountains,,,,Bombe Mountains,,
988,Ethiopia Guji 1 Natural Hambela Lot 215,,,,,,
989,Honduras Sergio Romero Single-Origin Espresso,,,,Corquin,,
990,Kenya Giakanja,,,,Nyeri County,,
991,Ethiopia Yirgacheffe G1 Natural Asfaw Maru,,,,,,
992,Costa Rica Termico,,,,,,
993,Finca El Jardin Guatemala,Tug Hill Artisan Roasters,,,Fraijanes Growing Region,4.59,
